DetectionTimeStart_ShipLocal,DetectionTimeStart_UTC,DetectionTimeEnd_UTC,Latitude,Longitude
10/22/2017 11:10:08,10/22/2017 21:10:08,10/22/2017 21:10:27,25.12166833,-169.4271017
10/22/2017 11:15:38,10/22/2017 21:15:38,10/22/2017 21:15:51,25.12539,-169.4436167
10/22/2017 11:21:16,10/22/2017 21:21:16,10/22/2017 21:21:38,25.12900833,-169.4605317
10/22/2017 11:26:34,10/22/2017 21:26:34,10/22/2017 21:26:53,25.132415,-169.476415
10/22/2017 11:32:54,10/22/2017 21:32:54,10/22/2017 21:33:14,25.13647167,-169.495005
10/22/2017 11:38:28,10/22/2017 21:38:28,10/22/2017 21:38:48,25.140245,-169.5119417
10/22/2017 11:44:20,10/22/2017 21:44:20,10/22/2017 21:44:49,25.14438333,-169.5293267
10/22/2017 11:49:36,10/22/2017 21:49:36,10/22/2017 21:50:02,25.14798167,-169.5447067
10/22/2017 12:19:05,10/22/2017 22:19:05,10/22/2017 22:19:20,25.16873167,-169.6329833
10/22/2017 13:24:37,10/22/2017 23:24:37,10/22/2017 23:25:00,25.19184167,-169.7191817
10/22/2017 13:25:28,10/22/2017 23:25:28,10/22/2017 23:25:44,25.19223,-169.7216517
10/22/2017 13:27:25,10/22/2017 23:27:25,10/22/2017 23:27:47,25.19307333,-169.7270733
10/22/2017 13:28:41,10/22/2017 23:28:41,10/22/2017 23:28:54,25.193575,-169.7304983
10/22/2017 13:29:36,10/22/2017 23:29:36,10/22/2017 23:29:48,25.19394167,-169.732965
10/22/2017 13:31:32,10/22/2017 23:31:32,10/22/2017 23:31:54,25.19479333,-169.7385817
10/22/2017 13:32:43,10/22/2017 23:32:43,10/22/2017 23:33:00,25.19536167,-169.742215
10/22/2017 13:33:02,10/22/2017 23:33:02,10/22/2017 23:33:27,25.19556833,-169.74331
10/22/2017 13:33:39,10/22/2017 23:33:39,10/22/2017 23:34:02,25.19587167,-169.7449217
10/22/2017 13:34:41,10/22/2017 23:34:41,10/22/2017 23:35:00,25.19649,-169.7481367
10/22/2017 13:35:28,10/22/2017 23:35:28,10/22/2017 23:35:50,25.19691333,-169.7503033
10/22/2017 13:36:32,10/22/2017 23:36:32,10/22/2017 23:36:51,25.19773833,-169.7539417
